company_name,industry,employee_count,job_postings,recent_news,tech_stack,funding_info,linkedin_activity,signal_type,signal_detail,signal_strength,recommended_angle,signal_count
truemed,Health & Wellness Fintech,98,"Analytics Engineer, Full-Stack JavaScript Developer, Product Manager (Checkout & Marketplace), merchant partnership roles","Closed $34M Series A in Dec 2025 led by Andreessen Horowitz with Bessemer Venture Partners; employee count grew 476% YoY; partnered with CrossFit, Eight Sleep, Nike Strength, 24 Hour Fitness","JavaScript/full-stack frameworks, payment processing APIs, HSA/FSA compliance systems, analytics infrastructure","Series A $34M closed Dec 2025; led by a16z with Bessemer, Long Journey Ventures, BoxGroup, Trust Ventures","Active LinkedIn presence with 1,700+ followers; leadership posting about HSA/FSA accessibility and wellness industry trends; multiple new hire announcements",FUNDING,"Closed $34M Series A in December 2025 led by Andreessen Horowitz and Bessemer Venture Partners — very recent and large round signaling aggressive growth phase",HIGH,"With fresh Series A capital from a16z, TrueMed is actively investing in infrastructure and team — reach out with solutions that accelerate growth without proportional headcount increases.",4
truemed,Health & Wellness Fintech,98,"Analytics Engineer, Full-Stack JavaScript Developer, Product Manager (Checkout & Marketplace), merchant partnership roles","Closed $34M Series A in Dec 2025 led by Andreessen Horowitz with Bessemer Venture Partners; employee count grew 476% YoY; partnered with CrossFit, Eight Sleep, Nike Strength, 24 Hour Fitness","JavaScript/full-stack frameworks, payment processing APIs, HSA/FSA compliance systems, analytics infrastructure","Series A $34M closed Dec 2025; led by a16z with Bessemer, Long Journey Ventures, BoxGroup, Trust Ventures","Active LinkedIn presence with 1,700+ followers; leadership posting about HSA/FSA accessibility and wellness industry trends; multiple new hire announcements",HIRING,"Actively hiring Analytics Engineer, Full-Stack JavaScript Developer, Product Manager, and merchant partnership roles post-Series A",HIGH,"TrueMed is rapidly building out engineering and product teams post-funding — position your solution as one that helps their new hires onboard faster and their lean team scale efficiently.",4
truemed,Health & Wellness Fintech,98,"Analytics Engineer, Full-Stack JavaScript Developer, Product Manager (Checkout & Marketplace), merchant partnership roles","Closed $34M Series A in Dec 2025 led by Andreessen Horowitz with Bessemer Venture Partners; employee count grew 476% YoY; partnered with CrossFit, Eight Sleep, Nike Strength, 24 Hour Fitness","JavaScript/full-stack frameworks, payment processing APIs, HSA/FSA compliance systems, analytics infrastructure","Series A $34M closed Dec 2025; led by a16z with Bessemer, Long Journey Ventures, BoxGroup, Trust Ventures","Active LinkedIn presence with 1,700+ followers; leadership posting about HSA/FSA accessibility and wellness industry trends; multiple new hire announcements",GROWTH,"Employee count grew 476% YoY and secured major brand partnerships with CrossFit, Eight Sleep, Nike Strength, and 24 Hour Fitness",HIGH,"TrueMed's explosive 476% headcount growth and marquee brand partnerships signal a company in hyper-scale mode — offer tools that help operationalize partnerships and manage rapid team expansion.",4
conductor,AI Developer Tools,4,"Founding Engineer, Founding Design Engineer, 1 additional engineering role","YC S24 batch; used by engineers at Linear, Vercel, Notion, Stripe, and YC; launched Mac app for running parallel Claude Code agents; Windows waitlist open","Electron/macOS native, Claude Code API, Git integration, TypeScript","YC S24 backed; undisclosed amount from top valley investors","Founders Jackson de Campos and Charlie Holtz active on LinkedIn and X; product featured in The New Stack review; growing developer community",FUNDING,"YC S24 backed with investment from top valley investors — early-stage funding signals aggressive growth mandate and budget to act on it",HIGH,"Conductor just secured YC S24 backing and is in rapid build mode — reach out with tools that help early-stage AI startups move faster without adding engineering overhead.",4
conductor,AI Developer Tools,4,"Founding Engineer, Founding Design Engineer, 1 additional engineering role","YC S24 batch; used by engineers at Linear, Vercel, Notion, Stripe, and YC; launched Mac app for running parallel Claude Code agents; Windows waitlist open","Electron/macOS native, Claude Code API, Git integration, TypeScript","YC S24 backed; undisclosed amount from top valley investors","Founders Jackson de Campos and Charlie Holtz active on LinkedIn and X; product featured in The New Stack review; growing developer community",HIRING,"Hiring Founding Engineer, Founding Design Engineer, and an additional engineering role — classic early-stage foundational team formation signal",HIGH,"Conductor is making foundational engineering hires right now — offer solutions that help their small founding team move fast and reduce technical debt before they scale.",4
conductor,AI Developer Tools,4,"Founding Engineer, Founding Design Engineer, 1 additional engineering role","YC S24 batch; used by engineers at Linear, Vercel, Notion, Stripe, and YC; launched Mac app for running parallel Claude Code agents; Windows waitlist open","Electron/macOS native, Claude Code API, Git integration, TypeScript","YC S24 backed; undisclosed amount from top valley investors","Founders Jackson de Campos and Charlie Holtz active on LinkedIn and X; product featured in The New Stack review; growing developer community",GROWTH,"Rapidly gaining traction with engineers at Linear, Vercel, Notion, Stripe, and YC; launched Mac app and opened Windows waitlist showing active multi-platform expansion",HIGH,"Conductor's adoption by engineers at elite companies like Stripe and Vercel is a strong growth signal — position your offering as the next tool that forward-thinking dev teams adopt alongside Conductor.",4
coldiq,B2B Sales & GTM Automation,9,"Scaling team; hiring across GTM and ops roles","Surpassed $250k MRR in Oct 2024 ($3M+ ARR run rate); COO Alex Vacca focused on scaling to $500k/month; published 2025 Sales Tech Stack Guide and AI Data Collection tools ranking","AI/ML pipelines, CRM integrations, email infrastructure, data enrichment APIs, automation tooling","Bootstrapped; $3M+ ARR; no disclosed VC funding","CEO Michel Lieben active on LinkedIn sharing revenue milestones; COO posting about scaling ops; company page publishes B2B sales content regularly",GROWTH,"Surpassed $250k MRR in October 2024 ($3M+ ARR run rate) with COO publicly targeting $500k/month — bootstrapped and scaling aggressively",HIGH,"ColdIQ is hitting aggressive revenue milestones without VC funding — reach out with solutions that help lean bootstrapped teams scale GTM operations without proportional headcount increases.",3
truemed,Health & Wellness Fintech,98,"Analytics Engineer, Full-Stack JavaScript Developer, Product Manager (Checkout & Marketplace), merchant partnership roles","Closed $34M Series A in Dec 2025 led by Andreessen Horowitz with Bessemer Venture Partners; employee count grew 476% YoY; partnered with CrossFit, Eight Sleep, Nike Strength, 24 Hour Fitness","JavaScript/full-stack frameworks, payment processing APIs, HSA/FSA compliance systems, analytics infrastructure","Series A $34M closed Dec 2025; led by a16z with Bessemer, Long Journey Ventures, BoxGroup, Trust Ventures","Active LinkedIn presence with 1,700+ followers; leadership posting about HSA/FSA accessibility and wellness industry trends; multiple new hire announcements",TECHNOLOGY,"Scaling a complex tech stack including payment processing APIs, HSA/FSA compliance systems, and analytics infrastructure to support rapid growth",MEDIUM,"As TrueMed scales their payments and compliance infrastructure they likely face integration complexity — offer solutions that simplify their tech stack or accelerate data pipeline reliability.",4
conductor,AI Developer Tools,4,"Founding Engineer, Founding Design Engineer, 1 additional engineering role","YC S24 batch; used by engineers at Linear, Vercel, Notion, Stripe, and YC; launched Mac app for running parallel Claude Code agents; Windows waitlist open","Electron/macOS native, Claude Code API, Git integration, TypeScript","YC S24 backed; undisclosed amount from top valley investors","Founders Jackson de Campos and Charlie Holtz active on LinkedIn and X; product featured in The New Stack review; growing developer community",TECHNOLOGY,"Building on a cutting-edge stack including Claude Code API, Electron/macOS native app, Git integration, and TypeScript — signals active platform investment and modern tooling adoption",MEDIUM,"Conductor's investment in Claude Code API and native desktop tooling signals they value best-in-class developer experience — reach out with complementary tools that enhance AI-native development workflows.",4
coldiq,B2B Sales & GTM Automation,9,"Scaling team; hiring across GTM and ops roles","Surpassed $250k MRR in Oct 2024 ($3M+ ARR run rate); COO Alex Vacca focused on scaling to $500k/month; published 2025 Sales Tech Stack Guide and AI Data Collection tools ranking","AI/ML pipelines, CRM integrations, email infrastructure, data enrichment APIs, automation tooling","Bootstrapped; $3M+ ARR; no disclosed VC funding","CEO Michel Lieben active on LinkedIn sharing revenue milestones; COO posting about scaling ops; company page publishes B2B sales content regularly",HIRING,"Actively scaling team with hiring across GTM and ops roles at a 9-person bootstrapped company — signals that revenue growth is outpacing current team capacity",MEDIUM,"ColdIQ is hiring across GTM and ops while staying lean — offer solutions that reduce the need for additional headcount by automating the work those new roles would handle.",3
coldiq,B2B Sales & GTM Automation,9,"Scaling team; hiring across GTM and ops roles","Surpassed $250k MRR in Oct 2024 ($3M+ ARR run rate); COO Alex Vacca focused on scaling to $500k/month; published 2025 Sales Tech Stack Guide and AI Data Collection tools ranking","AI/ML pipelines, CRM integrations, email infrastructure, data enrichment APIs, automation tooling","Bootstrapped; $3M+ ARR; no disclosed VC funding","CEO Michel Lieben active on LinkedIn sharing revenue milestones; COO posting about scaling ops; company page publishes B2B sales content regularly",TECHNOLOGY,"Active and modern tech stack spanning AI/ML pipelines, CRM integrations, email infrastructure, data enrichment APIs, and automation tooling — a team that actively evaluates and adopts new tools",MEDIUM,"ColdIQ is a known authority on sales tech stacks and publishes tool rankings — position your solution as one that belongs in the modern GTM tech stack they recommend to their audience.",3
aryel,AR Marketing SaaS,55,"No current open roles listed","Raised €3.7M seed round (€3M in 2023 and €700K in 2022); 50,000+ marketers using the platform; expanding AR ad capabilities across drag-and-drop campaign builder","WebAR, JavaScript, 3D rendering, drag-and-drop SaaS platform, ad tag distribution, marketing tool integrations","Seed €3.7M total from KF Ventures and PranaVentures","Milan-based team; founders Luca Petri, Mattia Salvi, Leonardo Persico posting about AR marketing trends; company page shares product updates and campaign showcases",FUNDING,"Raised €3.7M in total seed funding (€3M in 2023 and €700K in 2022) from KF Ventures and PranaVentures",MEDIUM,"Aryel's seed funding signals investor conviction in AR marketing — reach out with solutions that help them maximize runway by improving operational efficiency or accelerating platform growth.",3
aryel,AR Marketing SaaS,55,"No current open roles listed","Raised €3.7M seed round (€3M in 2023 and €700K in 2022); 50,000+ marketers using the platform; expanding AR ad capabilities across drag-and-drop campaign builder","WebAR, JavaScript, 3D rendering, drag-and-drop SaaS platform, ad tag distribution, marketing tool integrations","Seed €3.7M total from KF Ventures and PranaVentures","Milan-based team; founders Luca Petri, Mattia Salvi, Leonardo Persico posting about AR marketing trends; company page shares product updates and campaign showcases",GROWTH,"50,000+ marketers now using the platform with active expansion of AR ad capabilities and drag-and-drop campaign builder features",MEDIUM,"Aryel's 50,000+ user base and ongoing product expansion signal a company pushing toward scale — offer tools that help them convert free or light users into paid customers more efficiently.",3
