company_name,step_number,channel,day,subject,body,internal_notes
Aryel,1,Email,1,WebAR's next challenge: scale,"50k+ marketers trust your platform—how's the post-launch integration velocity looking? Just saw your 3D rendering expansion. With competition heating up, teams often struggle keeping feature releases aligned with user onboarding. Quick question: what's your biggest scaling bottleneck right now?",Use first_line from hooks as opener. Bridge to platform expansion and competitive pressure. CTA is a low-commitment question.
Aryel,2,LinkedIn Connection,3,Connection request,"Sent you a note about your WebAR platform growth and 3D rendering capabilities. Impressed by your 50k+ user base and the velocity of your feature releases.","Reference email without being pushy. Max 300 chars. No CTA. Match technical communication style."
Aryel,3,Email,5,When 50k users all expect feature parity,"Here's what we're seeing with AR SaaS scaling: teams spend 6+ weeks managing feature requests across user segments. Your 3D rendering launch shows you're committed to staying ahead. But managing user expectations across that scale is brutal. Can you spare 15 mins Thursday for a brief chat?",NEW angle: user expectation management at scale (different from step 1). Include stat. Specific + time-bound CTA.
Aryel,4,LinkedIn Comment,8,LinkedIn comment engagement,"Monitor feed for engagement opportunity—look for recent posts from Aryel or team members about platform launches, WebAR trends, or product updates. Engage with genuine insight about scaling complexity.","If they have recent posts about product launches or user growth, comment with: ""Scaling to 50k+ users while launching new features like 3D rendering is the real challenge. Most teams we work with spend weeks just managing feature request triage. Have you found a system that works?"""
Aryel,5,Email,12,The trap: more features, same runway,"Quick thought: every feature you launch pulls engineering resources. You're managing 50k+ marketers expecting constant innovation while keeping infrastructure costs reasonable. What if revenue-per-user was growing faster than user count? Send me one metric you'd love to optimize.","Pattern interrupt: short question focused on revenue efficiency. Different pain point (budget/revenue) than steps 1 and 3. Max 80 words."
Aryel,6,Email,17,Staying in touch,"I've reached out a few times, and I'm guessing the timing just isn't right—totally understand. Here's one more thought: as you scale WebAR tooling, staying ahead of competitive clones gets harder. Happy to reconnect when you're exploring ways to differentiate faster.","Breakup email. Final value (competitive differentiation insight). Low-pressure CTA acknowledging previous outreach. Respectful tone."
Aryel,7,LinkedIn Voice Note,21,"Hey Aryel team—quick thought. Loved what you've built with WebAR and your 50k+ user base. Scaling platform features while keeping users happy is no joke. If you ever want to chat about managing feature velocity without burning out the team, happy to connect. Cheers.","30-second script. Casual, human tone. Reference the value shared (scaling platform features) and offer open door without hard ask."
ColdIQ,1,Email,1,From $250k to $500k—what's next?,"$250k MRR bootstrapped is exceptional—but what's blocking your path to $500k monthly? You and your team are clearly executing at scale. Most founders at your stage struggle with one thing: scaling ops to match revenue velocity. Quick question: where's the team stretched thinnest right now?",Use first_line from hooks. Bridge to ops scaling challenge. CTA is a low-commitment question about bottleneck.
ColdIQ,2,LinkedIn Connection,3,Connection request,"Saw your growth posts on LinkedIn—$250k MRR is impressive. Sent you an email about the scaling challenges most bootstrapped teams hit. Let's connect.","Reference email lightly. Max 300 chars. No CTA. Casual tone to match communication style."
ColdIQ,3,Email,5,Why bootstrapped SaaS stall at $500k,"Here's the pattern: bootstrapped founders hit $250-300k MRR then spend 3+ months hiring/training instead of closing deals. Your AI/ML stack is solid—most teams like yours struggle moving faster on GTM execution, not tech. Would 15 mins this Thursday help clarify your hiring roadmap?",NEW angle: GTM execution and hiring efficiency (different from step 1). Include stat. Specific + time-bound CTA.
